"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Events'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Photos/Videos'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thursday, March 9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump pledges to remove certain regulations pertaining to the Dodd–Frank Wall Street Reform and Consumer Protection Act at a White House meeting with community bankers.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media President Trump leads an NEC meeting with CEOs of small and community banks.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Friday, March 10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump speaks by telephone with Palestinian President Mahmoud Abbas, extending a personal invitation to the White House. President Trump and Attorney General Sessions order the resignation of 46 U.S.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A brainstorming session with members of congress on replacing the Affordable Care Act.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saturday, March 11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump meets with Secretary of Homeland Security Kelly, Secretary of the Treasury Mnuchin, Secretary of Commerce Ross and Secretary of Veterans Affairs Shulkin at the Trump National Golf Club, where they discuss healthcare and the economy.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sunday, March 12'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': 'Week 8[edit]'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Monday, March 13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""President Trump signs Executive Order 13781, to reduce operating costs of the federal government. Press Secretary Spicer states that Trump's wiretapping tweet was misinterpreted by the media, saying that Trump meant that the Obama administration was responsible, not Obama personally.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media President Trump at the first cabinet meeting.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tuesday, March 14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""President Trump hosts Saudi Deputy Crown Prince Mohammad bin Salman at the White House. Rachel Maddow discloses a portion of Trump's 2005 tax returns (both sides of his Form 1040), mailed to David Cay Johnston by an unnamed source.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vice President Pence swearing in Administrator of the Centers for Medicare and Medicaid Services Seema Verma.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wednesday, March 15'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump makes remarks at the American Center for Mobility at Willow Run in Ypsilanti, Michigan and later holds a political rally in Nashville, Tennessee, at which he criticizes the court rulings against the travel ban.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Timeline of the Donald Trump presidency (2017 Q1) is located in East Asia area blank CJKTokyoSeoulBeijing Secretary of State Tillerson's tour of East Asia from March 15, 2017 to March 19, 2017.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thursday, March 16'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""The Trump Administration releases a preliminary draft of its 2018 budget request. The budget's largest relative increases in spending include the Departments of Defense, Homeland Security, and Veterans Affairs, while the largest cuts apply to the EPA, Foreign Aid, and the Departments of Labor and Agriculture.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump and Taoiseach Enda Kenny.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Friday, March 17'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump holds a bilateral meeting and joint press conference with German Chancellor Angela Merkel at the White House. GCHQ denies all involvement in the alleged wiretapping of Trump Tower, prompting the Trump administration to issue a formal apology to the United Kingdom with assurances that the allegation will not be repeated.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media A Joint Press Conference between President Trump and German Chancellor Angela Merkel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saturday, March 18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump speaks by telephone with Brazilian President Michel Temer and Chilean President Michelle Bachelet. Secretary of State Tillerson meets with Chinese Foreign Minister Wang Yi in Beijing, to discuss the North Korean missile program.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Play media President Trump's weekly address.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sunday, March 19'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'German Defense Minister Ursula von der Leyen rejects a statement by President Trump on 18 March that Germany owes a financial debt to NATO.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Secretary of State Tillerson shakes hands with China's President Xi Jinping.""}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': 'Week 9[edit]'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Monday, March 20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump issues a tweet rejecting allegations of collusion with Russia as ""fake news"". In a House Intelligence Committee hearing, FBI Director James Comey states that their investigation of Russian influence on the presidential election also covers possible links between Russia and Trump campaign figures and that the FBI has no evidence of wiretapping against Trump.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump and Iraqi Prime Minister Haider al-Abadi.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tuesday, March 21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump signs a bill which defines the budget and objectives of NASA, including a crewed mission to Mars as early as 2033.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump receives a NASA flight jacket.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wednesday, March 22'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""President Trump is briefed by Devin Nunes, who also holds a news conference at the White House, on the evidence concerning Trump's wiretapping allegations which he was shown on the White House grounds on the previous day.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media A briefing from the Metropolitan Police Service, following the Westminster terrorist attack.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thursday, March 23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""The first major Congressional vote on President Trump's planned repeal and replacement of the Affordable Care Act is postponed until March 24.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Secretary of Homeland Security Kelly meets with President Juan Orlando Hernandez of Honduras.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Friday, March 24'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'With the consent of President Trump, House Speaker Paul Ryan indefinitely postpones the first major Congressional vote on the repeal and replacement of the Affordable Care Act, due to lack of support from both sides of Congress.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media President Trump Makes a Statement on Healthcare Law.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saturday, March 25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A ban on some electronic devices on flights from Turkey, Morocco, Jordan, Egypt, the United Arab Emirates, Qatar, Saudi Arabia and Kuwait goes into effect.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sunday, March 26'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Vice President Pence delivers an evening speech to the American Israel Public Affairs Committee (AIPAC) at Washington D.C.'s Verizon Center, reaffirming the United States' commitments to Israeli defense, and to prevent Iran's nuclear program from producing a weapon.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': 'Week 10[edit]'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Monday, March 27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump signs a memorandum creating the White House Office of American Innovation, consisting of 2 senior advisors and 8 assistants to the president, to be headed by Jared Kushner.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump and Vice President Pence meet with Medal of Honor Recipients.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tuesday, March 28'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump signs Executive Order 13783, which removes a directive to consider climate change during deliberations under the National Environmental Policy Act, removes restrictions on fracking, and directs the Environmental Protection Agency to suspend, revise or abolish the Clean Power Plan.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media President Trump and Vice President Pence speak about Executive Order 13783.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wednesday, March 29'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump signs Executive Order 13784 to combat drug addiction and the opioid epidemic. Trump also hosts a meeting in the Cabinet Room, concerning opioids and drug abuse.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Play media President Trump hosts a meeting concerning opioids and drug abuse.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thursday, March 30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump calls FBI Director James Comey, asserts that he wasn\'t involved with Russian hookers and asks Comey to ""lift the cloud"" of the Russia investigation.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump and Danish Prime Minister Lars Løkke Rasmussen.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Friday, March 31'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'President Trump issues a tweet describing as a ""witch hunt"" allegations of links between Russia and his associates, and recommending that Michael Flynn requests immunity in return for testimony to the intelligence authorities.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Secretary of State Tillerson stands with NATO colleagues in Brussels, Belgium.'}"
